id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
003099b7-9847-4fe7-9b50-a87c7b3bb18e,underprotest.tickets,available,399.99,,30,1,13,name.com,,
0032f6e3-2931-471d-bdbf-63f2a9692244,uncared.tickets,available,399.99,,57,1,7,name.com,,
00353270-1264-44b6-96a3-13d35eba9c73,filesharing.tickets,available,399.99,,76,7,12,name.com,,
004e5d30-67b0-4d3a-8a1d-2401efd87e2b,Lordonlyknows.tickets,available,568,,58,1,15,namecheap,,
00565e8e-43d0-462c-9b2a-058d87b1212c,commonlog.tickets,available,399.99,,50,1,10,name.com,,
00661e49-b41a-441a-8999-083eb619b6d5,runwith.tickets,available,399.99,,70,5,8,name.com,,
0066bdfc-0b59-4862-8a9b-416b996ad919,midmorning.tickets,available,399.99,,80,1,11,name.com,,
00885b15-c63c-454f-bd65-efbcab8015e4,arguments.tickets,available,399.99,,54,7,9,name.com,,
008e98f3-c654-46c7-ba54-1ab410ad3553,lists.tickets,available,399.99,,60,14,5,name.com,,
0094c524-2718-497c-8e83-21394ec70c69,giveatry.tickets,available,399.99,,56,2,10,name.com,,
0097ffcf-667c-4b3e-8a31-662f73de9ef1,photocopying.tickets,available,359.99,389.99,68,2,12,namesilo,,
00a46e3d-a1b3-4660-b1b0-1d0f105e0244,withintent.tickets,available,399.99,,54,6,11,name.com,,
00c25d4d-d474-494b-9ad7-410ce1a678da,newsfeature.tickets,available,399.99,,50,1,12,name.com,,
00c42c85-d485-40bc-9adb-bb9a0b687a50,makefirstbase.tickets,available,399.99,,42,1,15,name.com,,
00cd6498-6c6a-4d7c-a9e5-9ad6577d54ec,gobackalongway.tickets,available,399.99,,66,1,18,name.com,,
00e0dfdf-8b75-4867-911a-a9e9d7f58cff,getupto.tickets,available,399.99,,74,2,9,name.com,,
0115a4cd-f287-4046-934a-02db32bf77df,Ilostmyhandbag.tickets,available,568,,50,1,17,namecheap,,
011c4dc7-fe79-49c0-b9c8-e3bf39dda409,littlepeople.tickets,available,399.99,,70,4,13,name.com,,
016c1182-5527-40b8-bfc9-816b4fe4ccd7,paced.tickets,available,399.99,,49,5,5,name.com,,
017e6ead-0be1-4116-bfdb-ad3dca6018f7,flips.tickets,available,359.99,389.99,52,12,5,namesilo,,
018c3514-9db2-4dd2-a4f9-c38d0c50996d,makefriends.tickets,available,399.99,,88,6,12,name.com,,
0194f8a7-1471-48e6-8e2d-34d06caad1da,resists.tickets,available,399.99,,52,2,7,name.com,,
01c9d98d-918c-414e-b0c0-c93ce59f949b,haveityourownway.tickets,available,399.99,,50,1,20,name.com,,
01ce8d60-4ab5-4716-b8b4-73542330bcd5,operators.tickets,available,399.99,,52,13,9,name.com,,
01e2d8e9-38b3-4546-a0db-1a78e4cd5421,stuffit.tickets,available,399.99,,44,5,8,name.com,,
02044fa7-3817-4103-93fb-e5cc1fde2843,motorsport.tickets,available,399.99,,74,23,10,name.com,,
02318058-92fc-46d6-819b-70f7c28c89c7,parishes.tickets,available,399.99,,51,3,8,name.com,,
0273ad57-4dea-4726-a014-bccb218a09d9,kicks.tickets,available,399.99,,77,15,5,name.com,,
028852a5-922e-4483-9979-a6eb7786b3e5,looked.tickets,available,399.99,,74,5,6,name.com,,
02896b0f-edb9-47db-904e-107a33d4075a,getonwithit.tickets,available,399.99,,51,4,14,name.com,,
028c6ffa-1f0f-43f8-beb9-eb78ccc33080,savinggrace.tickets,available,399.99,,76,7,12,name.com,,
0290a12e-e40c-462c-abea-6dfb65d45294,praises.tickets,available,359.99,389.99,56,3,7,namesilo,,
02a45d66-ca68-42b5-9c7f-496be42ef4d1,runto.tickets,available,399.99,,67,8,6,name.com,,
02c4846f-95a2-48dc-82a7-4b127fd1e2e9,companies.tickets,available,399.99,,62,16,9,name.com,,
02c8bbac-4339-4953-bd7e-42cbed708895,getoninyears.tickets,available,399.99,,44,0,15,name.com,,
02ce6757-519e-4d8c-a161-ca6ab9756ef6,pantihose.tickets,available,399.99,,70,2,9,name.com,,
02d683e3-db58-40e3-b6b0-e1f11511cd07,grandchildren.tickets,available,399.99,,60,3,13,name.com,,
03220123-9f87-472e-9e0d-38887d0a89fc,uploadability.tickets,available,399.99,,60,1,13,name.com,,
033a8a8b-7c0d-4704-a264-ca2876813f50,reminded.tickets,available,399.99,,60,4,8,name.com,,
0340a136-5a10-4213-98eb-4f2a1f953456,setin.tickets,available,399.99,,68,5,6,name.com,,
03695456-3f3f-4fc6-b8f6-aefe0d80e014,gems.tickets,available,359.99,389.99,70,28,4,namesilo,,
037bfab4-dcbc-4a6f-9db9-64390bbc8363,divineguidance.tickets,available,399.99,,57,4,15,name.com,,
03b86e10-a27a-4aa2-9d0a-03f17535fee4,onthemove.tickets,available,399.99,,72,10,11,name.com,,
03cbcbee-e835-49f3-9aea-01703c46168c,rained.tickets,available,359.99,389.99,50,4,6,namesilo,,
03ccf9b9-58a7-4d01-a566-3389a1931a44,letwellalone.tickets,available,399.99,,47,1,14,name.com,,
03cd14ed-e262-4cc7-afff-6b3892ddeeab,dates.tickets,available,399.99,,56,15,5,name.com,,
03e4ec08-07cb-4dbe-827b-58009ee326f5,mostoften.tickets,available,399.99,,56,0,10,name.com,,
